// Compost colors for bountifulforests. You may add your own colors, change existing ones, or remove colors that aren't needed.
coal_branch, #646464
coal_resin, #dddddd
coal_sapling, #7a7a7a
copper_branch, #646464
copper_resin, #dddddd
copper_sapling, #7a7a7a
diamond_branch, #646464
diamond_resin, #dddddd
diamond_sapling, #7a7a7a
dirt_branch, #646464
dirt_resin, #dddddd
dirt_sapling, #7a7a7a
emerald_branch, #646464
emerald_resin, #dddddd
emerald_sapling, #7a7a7a
gold_branch, #646464
gold_resin, #dddddd
gold_sapling, #7a7a7a
iron_branch, #646464
iron_resin, #dddddd
iron_sapling, #7a7a7a
lapis_branch, #646464
lapis_resin, #dddddd
lapis_sapling, #7a7a7a
netherite_branch, #646464
netherite_resin, #dddddd
netherite_sapling, #7a7a7a
redstone_branch, #646464
redstone_resin, #dddddd
redstone_sapling, #7a7a7a
