// Compost colors for brewery. You may add your own colors, change existing ones, or remove colors that aren't needed.
barrel_main, #865b2f
beer_barley, #b2935c
beer_elemental_spawn_egg, #7c6143
beer_haley, #b46e83
beer_hops, #ab9075
beer_mug, #735130
beer_nettle, #b49770
beer_oat, #987544
beer_wheat, #c0ab6c
breathalyzer, #767a78
brewery_banner, #8db6fa
brewfest_blouse, #ffffff
brewfest_boots, #94703e
brewfest_dress, #c5223a
brewfest_hat, #7f8491
brewfest_hat_red, #8e6e78
brewfest_regalia, #3ca7f1
brewfest_shoes, #505058
brewfest_trousers, #7a3e1b
copper_brewingstation, #f78e5c
dark_brew, #876b4e
dried_barley, #ac9b62
dried_corn, #d7ac66
dried_oat, #d6b47a
dried_wheat, #bc9d66
dumplings, #e4c978
fried_chicken, #c8823e
gingerbread, #80a5ab
half_chicken, #be7c4a
hops, #76a134
mashed_potatoes, #e4b975
netherite_brewingstation, #5a5458
pork_knuckle, #d0874d
potato_salad, #d4a258
pretzel, #ed9639
sausage, #e4ca8a
whiskey_ak, #bf9452
whiskey_carrasconlabel, #945a84
whiskey_cristelwalker, #93682d
whiskey_highland_hearth, #d7b998
whiskey_jamesons_malt, #bca59e
whiskey_jojannik, #8a5f4a
whiskey_lilitusinglemalt, #d66279
whiskey_maggoallan, #cd7d47
whiskey_smokey_reverie, #805041
wild_hops, #839040
wooden_brewingstation, #7d5c3d
