// Compost colors for energizedpower. You may add your own colors, change existing ones, or remove colors that aren't needed.
advanced_alloy_ingot, #945b3a
advanced_alloy_plate, #935a36
advanced_battery_box_minecart, #af5e68
advanced_circuit, #c33248
advanced_fertilizer, #ff2d2c
advanced_solar_cell, #330f7c
advanced_upgrade_module, #d91429
basic_circuit, #c5791b
basic_fertilizer, #c5bedd
basic_solar_cell, #f0f96
basic_upgrade_module, #ca7d07
battery_1, #ca8361
battery_2, #ca8061
battery_3, #ca7d5e
battery_4, #c98364
battery_5, #c88264
battery_6, #be5a6c
battery_7, #d0695f
battery_8, #bf3c41
battery_box_minecart, #c88a69
blast_furnace_upgrade_module, #be9044
cable_insulator, #757575
charcoal_dust, #443d30
charcoal_filter, #342d23
copper_dust, #e76e44
copper_plate, #ff7d51
copper_wire, #f0754b
creative_battery, #f250de
crystal_matrix, #c2afe7
cutter, #7d6f54
diamond_hammer, #43a17d
dirty_water_bucket, #aca090
duration_upgrade_module_1, #5fe41e
duration_upgrade_module_2, #37dc16
duration_upgrade_module_3, #2fb92a
duration_upgrade_module_4, #4ebc12
duration_upgrade_module_5, #50d03a
duration_upgrade_module_6, #3cc61e
energized_copper_ingot, #ffdda7
energized_copper_plate, #ffc394
energized_copper_wire, #ffffda
energized_crystal_matrix, #fff0ff
energized_gold_ingot, #ffffc3
energized_gold_plate, #ffffa4
energized_gold_wire, #fffff1
energized_power_book, #d08058
energy_analyzer, #737873
energy_capacity_upgrade_module_1, #ebaa1f
energy_capacity_upgrade_module_2, #b49e16
energy_capacity_upgrade_module_3, #b41b4e
energy_capacity_upgrade_module_4, #e11f2d
energy_capacity_upgrade_module_5, #5ed04e
energy_efficiency_upgrade_module_1, #e39b16
energy_efficiency_upgrade_module_2, #b18708
energy_efficiency_upgrade_module_3, #b9153c
energy_efficiency_upgrade_module_4, #d41525
energy_efficiency_upgrade_module_5, #4acc39
express_item_conveyor_belt, #7275a0
extraction_depth_upgrade_module_1, #eaa71e
extraction_depth_upgrade_module_2, #b29814
extraction_depth_upgrade_module_3, #b4194a
extraction_depth_upgrade_module_4, #dd1e2a
extraction_depth_upgrade_module_5, #5acf48
extraction_range_upgrade_module_1, #e6a21c
extraction_range_upgrade_module_2, #bb9d16
extraction_range_upgrade_module_3, #bc1b4a
extraction_range_upgrade_module_4, #e31f2f
extraction_range_upgrade_module_5, #58d344
fast_item_conveyor_belt, #9b7070
fluid_analyzer, #20699e
gear_press_mold, #bb5b40
gold_dust, #ffc62f
gold_plate, #fff750
gold_wire, #ffcd3c
golden_hammer, #d2aa30
good_fertilizer, #7fc23c
inventory_charger, #8a8752
inventory_coal_engine, #5c4848
inventory_teleporter, #8c6f94
iron_dust, #a7a7a7
iron_gear, #c5c5c5
iron_hammer, #aba18e
iron_plate, #d3d3d3
iron_rod, #9b9b9b
item_conveyor_belt, #9d8278
moon_light_upgrade_module_1, #de9a16
moon_light_upgrade_module_2, #d04034
moon_light_upgrade_module_3, #33c02c
netherite_hammer, #6b545c
processing_unit, #6cca44
range_upgrade_module_1, #e83933
range_upgrade_module_2, #cc332f
range_upgrade_module_3, #c6183d
raw_gear_press_mold, #afb5cd
raw_rod_press_mold, #dde3fa
raw_tin, #ffffff
raw_wire_press_mold, #c2c8de
redstone_alloy_ingot, #d30e00
reinforced_advanced_solar_cell, #aae3ff
reinforced_advanced_upgrade_module, #2fd30b
rod_press_mold, #f07552
saw_blade, #ffffff
sawdust, #cda25c
silicon, #626262
smoker_upgrade_module, #af7a25
speed_upgrade_module_1, #e39d18
speed_upgrade_module_2, #b9930f
speed_upgrade_module_3, #be1841
speed_upgrade_module_4, #dd1b2a
speed_upgrade_module_5, #4ed03a
steel_ingot, #c2c2c2
stone_hammer, #847a68
stone_pebble, #acacac
teleporter_matrix, #d6acff
teleporter_processing_unit, #be9ac2
tin_dust, #ffffff
tin_ingot, #ffffff
tin_nugget, #ffffff
tin_plate, #ffffff
tin_wire, #ffffff
wire_press_mold, #cf6547
wooden_hammer, #785a22
wrench, #aaaaaa
