// Compost colors for hbmsntm. You may add your own colors, change existing ones, or remove colors that aren't needed.
alloy_boots, #ff4d18
alloy_chestplate, #ff7223
alloy_helmet, #e74e1e
alloy_leggings, #ff5519
alloy_pickaxe, #d07855
alloy_sword, #c3340f
balefire_and_steel, #afcc5c
battery_creative, #79d06c
battery_spark, #7c0cac
battery_trixite, #9de1ff
black_hole, #5c5b5a
bomb_caller_atomic, #1e76fc
bomb_caller_carpet, #1e76fc
bomb_caller_napalm, #1e76fc
bottle_cherry, #ff6440
bottle_empty, #ffffff
bottle_nuka, #863928
bottle_opener, #9d835b
bottle_quantum, #1feeff
bottle_sparkle, #862c82
cap_nuka, #ff3a3a
cap_quantum, #8a238e
cap_sparkle, #8904c6
cell_antimatter, #acb4b4
cigarette, #fffffe
crackpipe, #ffe480
designator, #ebffee
designator_range, #786464
detonator, #ffffff
detonator_de, #d47d73
detonator_deadman, #af9a9a
detonator_multi, #e01b1b
digamma_diagnostic, #723434
dosimeter, #756555
duck_spawn_egg, #ffff30
early_explosive_lenses, #b45041
egg_balefire, #a8eb61
egg_balefire_shard, #abee69
explosive_lenses, #b44e41
fat_man_core, #f8fefc
fat_man_igniter, #ffeee7
fleija_core, #ffffff
fleija_igniter, #ffffff
fleija_propellant, #f5ffff
fluid_barrel_empty, #8a8a8a
fluid_barrel_full, #8d8d8d
fluid_barrel_infinite, #84a178
fluid_icon, #e4e4e4
fluid_identifier_multi, #968aa0
fluid_pack_empty, #979797
fluid_pack_full, #979797
fluid_tank_empty, #b2b2b2
fluid_tank_full, #b2b2b2
fluid_tank_lead_empty, #6f6f80
fluid_tank_lead_full, #6f6f80
gadget_core, #d7dedd
gadget_wireing, #ffffff
gas_asbestos, #ffffd6
gas_coal, #505050
gas_explosive, #ffff75
gas_flammable, #ffcf89
gas_meltdown, #c0e4b4
gas_monoxide, #aeaeae
gas_radon, #c3e7b6
gas_radon_dense, #c3e7b6
gas_radon_tomb, #c3e7b5
geiger_counter, #83762c
inf_water, #e1e4f8
inf_water_mk2, #8487a7
ivy_mike_cooling_unit, #ffffff
ivy_mike_core, #ffffff
ivy_mike_deut, #f2f2f5
key, #7a7a7a
key_fake, #ffff76
key_kit, #fffa68
key_red, #ff394a
little_boy_bullet, #ffffff
little_boy_igniter, #ffffff
little_boy_propellant, #ffffff
little_boy_shielding, #949494
little_boy_target, #e4eae1
n2_charge, #bfa47a
nothing, #222222
particle_digamma, #cabebf
particle_lutece, #cdebff
pellet_antimatter, #878787
pellet_rtg, #fff466
pin, #d7865f
reacher, #303030
satellite_interface, #73b952
satellite_laser, #757aae
satellite_radar, #7a84bf
schrabidium_pickaxe, #a6f6f
singularity, #b2a2e0
singularity_counter_resonant, #697598
singularity_spark, #c9accd
singularity_super_heated, #e0a1ae
tsar_bomba_core, #ffffff
